web-scraper-order,web-scraper-start-url,product-link,product-link-href,product_name,price,description
"1731552298-1","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Sondiko Butane Torch with Fuel Gauge S907, Refillable Kitchen Torch Lighter with Safety Lock, Fit All Butane Tanks Cooking Torch, Adjustable Flame Blow Torch, Food Torch for Baking and BBQ","https://www.amazon.ca/Sondiko-Refillable-Adjustable-One-Handed-Operation/dp/B08Y5M5V3X/ref=sr_1_56?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-56","Sondiko Butane Torch with Fuel Gauge S907, Refillable Kitchen Torch Lighter with Safety Lock, Fit All Butane Tanks Cooking Torch, Adjustable Flame Blow Torch, Food Torch for Baking and BBQ","$21.99","【One-handed Operation】The flame regulator and flame lock button are in the reach of your thumb, enabling you to easily adjust and lock the flame with only one hand, no need to free the other hand to assist in the operation, providing convenience for cooking like BBQ.     【Premium Fuel Gauge】Sondiko cooking torch is equipped with a transparent fuel gauge on the bottom, enabling you to know the remaining gas at any time and thus better manage your cooking creation. What’s more, the easy-to-read fuel gauge with MAX line also functions as a reminder to avoid overfilling. 10g large fuel gas capacity lasts 20-50 minutes each full refill with stable performance, easy handling your delicious feast.     【Fit All Small Butane Tanks】Do not know what butane gas tank to buy? Or have no idea whether the butane canister at home does not fit our torch? Don’t worry, Sondiko cooking torch fits any brand of butane gas with whether long nozzle or short nozzle! For butane tank with long nozzle, refill the torch directly; for gas tank with short nozzle, add the red adapter included in the box to lengthen the nozzle, then refill the torch.     【Versatile Culinary Torch】Up to 1371℃/2500℉ temperature with adjustable flame, this multipurpose cooking blow torch is not just a kitchen torch for baking, sous vide, searing meat and BBQ it also works for soldering, crafting, jewelry DIY and camping.     【Adjustable Flame&Continuously Flame Mode】Piezo Ignition Technology allows for using at any angle even upside down with effortless one hand operation, adjustable temperature regulator for complete control of flame and allows flame temperature to reach up to 1371 °C/2500 °F. Press the button to light fire, turn the safety lock clockwise at the same time, then it will keep firing without your pressing. Baking Cooking is more easier."
"1731552303-2","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Copmotds Refillable Butane Torch Lighter with Keyhole and Visible Window, 2 Pack Adjustable Pocket Lighter and Perfect for Men, 1-Year Warranty, Great Gift Idea! Without Gas(Grey)","https://www.amazon.ca/Copmotds-Refillable-Lighter-Adjustable-Warranty/dp/B0CR96XTF9/ref=sr_1_55?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-55","Copmotds Refillable Butane Torch Lighter with Keyhole and Visible Window, 2 Pack Adjustable Pocket Lighter and Perfect for Men, 1-Year Warranty, Great Gift Idea! Without Gas(Grey)","$22.99","【CREATIVE NEW UPGRADE】➤We have designed a metal keyhole for this flip lighter, providing you with various ways to carry it with you. Experience the ultimate convenience with our adjustable double jet flame torch lighter. Perfect for men and women on the go! (Butane Not Included)     【WINDPROOF PRACTICAL】➤Windproof flames are used almost anywhere. Stay prepared with our 2-pack of windproof torch lighters. Ideal for outdoor adventures, camping, and survival situations.     【VISIBLE FUEL WINDOW】➤Enjoy the sleek design of our refillable butane lighter, featuring a visible window to easily check the fuel level. Never run out of gas again!     【ADJUSTABLE FLAME】➤Pocket torch lighter comes with an adjustment wheel that allows easy adjustment of the flame size without the use of any tools. Get the perfect flame every time with our adjustable flame feature.     【GREAT GIFT IDEA】➤Give the gift of practicality with our pocket-sized double jet flame lighter. With a 1-year warranty, it's the perfect present for any occasion. Suitable as a Father's Day, Mother's Day, Valentine's Day, birthday, Christmas gift for fathers, husbands, boyfriends, men, and miscellaneous workers.     【TIMELY CUSTOMER SERVICE】➤Our products come with a 12-month warranty and a 30-day money-back guarantee. If you have any questions about the product or service, just feel free to contact us anytime, we will reply the message and help you solve the problem within 24 hours."
"1731552306-3","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Lighter for Candle, Electric Lighter, Long Lighter, Torch Lighter, Cigarette Lighter, 360° Flexible Neck LED Display, Rechargeable USB Arc Lighters for BBQ Camping Fireworks (Red)","https://www.amazon.ca/Electric-Cigarette-Flexible-Rechargeable-Fireworks/dp/B0DD7XPG9Q/ref=sr_1_54?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-54","Lighter for Candle, Electric Lighter, Long Lighter, Torch Lighter, Cigarette Lighter, 360° Flexible Neck LED Display, Rechargeable USB Arc Lighters for BBQ Camping Fireworks (Red)","$12.99","【Certified Safe】Our candle lighters experience peace of mind with our built-in upgraded auto shut-off chip, which stops after 7 seconds to ensure maximum safety. Designed with Children safety lock switch to prevent accidental ignition. To use, press the safety lock switch first, then ignite.     【USB Portable Charging】Our arc lighter uses USB to charge, and it can be used for more than 500 times in one charge. With LED battery display lets you always know the remaining power. The rechargeable lighter has no butane, no flame, and has high safety performance.     【Longer Flexible Neck & 360 Degrees】This electric lighter has a longer neck and can bend and rotate flexibly. It can easily meet your various use needs without worrying about the flames burning your hands. Compared with traditional lighters, it is more convenient and flexible.     【Wind & Splash Proof】This camping lighter Conquer the elements with our wind and splash-proof design that keeps the electric pulse steady even in strong winds or wet conditions. Whether you're indoors or outdoors, this arc flame can remain vitality, such as great for candles, camping, fireworks, bbqs, gas stoves, etc.     【Portable Convenient】Perfect for camping trips, BBQ parties, lighting candles, and fireworks celebrations. This versatile lighter is a must-have for outdoor enthusiasts, home users, and anyone in need of a reliable lighting tool. The compact and lightweight design makes it easy to carry anywhere. When not in use, remember to close the safety lock to effectively extend the battery life."
"1731552310-4","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","RAYONNER Candle Lighter Electric Lighter USB Lighter with Safety Switch Rechargeable Flameless Plasma (1 Pack - Rosegold)","https://www.amazon.ca/RAYONNER-Lighter-Electric-Rechargeable-Flameless/dp/B0D2D76FZS/ref=sr_1_53?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-53","RAYONNER Candle Lighter Electric Lighter USB Lighter with Safety Switch Rechargeable Flameless Plasma (1 Pack - Rosegold)","$9.99","【Multiple Safety Protection】- The rechargeable lighter has built in automatic power-off chip protection and double safety switch which can effectively prevent children from accidental use.     【 Economical & USB Rechargeable】：TYPE-C USB cable included for your convenience to plug in the power to any USB or charger. Electric lighter without gas required, no fluid required, no flame. One-time charge can last more than 60 times. At least can be charged over 300 times.     【Wind & Splash Proof】The wind and splash proof design will protect the electric pulse from being blown out by strong wind or wet weather. Arc lighter is a perfect tool for lighting under bad weather.     【Butane Free】- No more harmful butane. Rayonner uses plasma tech to eliminate the need for this harmful chemical. During the ignition, there will be a ""zee,zee"" noise, which is the normal operation sound, please use with ease.     【Attention Please】After using the lighter, you need to clean the position of the ARC Tip to remove flammable soot."
"1731552314-5","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Bic Lime Green Classic Full Size Lighters New Lot of 4","https://www.amazon.ca/Lime-Green-Classic-Full-Lighters/dp/B00NG1BK18/ref=sr_1_52?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-52","Bic Lime Green Classic Full Size Lighters New Lot of 4","$12.00","4 Bic Full Size Green Lighters"
"1731552319-6","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Metal Lighter, Dragon Relief Design, Side Wheel Frosted Lighter, refillable Butane Lighter, Soft Flame Lighter, flip Lighter, Outdoor, Camping, Men's Gift （Free of Butane Gas） (C)","https://www.amazon.ca/Lighter-Frosted-refillable-Outdoor-Camping/dp/B0CKT4SRMP/ref=sr_1_51?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-51","Metal Lighter, Dragon Relief Design, Side Wheel Frosted Lighter, refillable Butane Lighter, Soft Flame Lighter, flip Lighter, Outdoor, Camping, Men's Gift （Free of Butane Gas） (C)","$29.99","【High Quality & Unique Design】: The of lighter made with high quality Zinc Alloy with a Unique and noble appearance design. The overall dimension: 3in X 1.5in X 0.6in. Exquisite and compact design makes it more convenient for you to carry.Stocking filler Stocking filler"
"1731552323-7","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","KEPTFIT Windproof Torch Lighter, Triple Jet Flame Torch Lighters, Metal Butane Refillable Gas Lighters with Punch and Gift Box, (Without Butane) (Classic Yellow)","https://www.amazon.ca/KEPTFIT-Windproof-Lighter-Lighters-Refillable/dp/B0B6HRGP2G/ref=sr_1_50?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-50","KEPTFIT Windproof Torch Lighter, Triple Jet Flame Torch Lighters, Metal Butane Refillable Gas Lighters with Punch and Gift Box, (Without Butane) (Classic Yellow)","$31.99","{ Versatile Design } : High Quality 3 Flame Torch Lighter with Flip Top Lid, Fuel Level Window, universal Refill Valve and Built-in Cigar Punch.     { Safe & Easy to Use } : Sturdy Metal Material Body. Adjustable Flame Height . Refillable Butane Fuel . Lighter is shipped Without gas due to Air Mail regulation.     { Super Powerful Torch Flame } :Quad 3 Blue flame Design. Blue flame is visible in the sun, avoid fingers being burnt. Red flame is achieved by the color burners over the flame, the red flame will start showing after about 2-3 seconds ignition. Suitable for occasions like kitchen, BBQ, hiking, camping, cigar, cigarette, etc.     {Operting Insructions} : Open the cover of the lighter, press the button and the piezo Ignition and ontinuously works, so that the lighter is ignited. When the thumb moves away from the ignition switch, lighter stops work.     { Best as gift } : Packed in a fancy gift box. It’s a perfect gift for any occasions like, Wedding, Father’s Day, Birthday, Anniversary, Thanksgiving, Christmas, New Year, Valentines Day etc."
"1731552325-8","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","Lot of 5 Bic Mini Multi-colour Lighter Lot","https://www.amazon.ca/Lot-Bic-Mini-Multi-colour-Lighter/dp/B00863XN4I/ref=sr_1_49?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-49","Lot of 5 Bic Mini Multi-colour Lighter Lot","$14.95","Compact Size - Fits in your pocket     Convenient and Goes Anywhere     Safe, Reliable Flame     Comes with 5 brand new Bic Mini Lighters in assorted colors     100% Quality Inspected"
"1731552328-9","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","BIC Classic Lighter, Assorted Colors, 8-Pack (Colors and Packaging May Vary)","https://www.amazon.ca/BIC-Classic-Lighter-Assorted-Colors/dp/B07PGWWXB5/ref=sr_1_48?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-48","BIC Classic Lighter, Assorted Colors, 8-Pack (Colors and Packaging May Vary)","$24.00","Child-resistant, Safe and reliable, 100% Quality Inspected     BIC Maxi pocket lighters provide up to 2 times the lights vs. the next full size leading brand     Every BIC lighter undergoes more than 50 separate, automatic quality checks during the manufacturing process     Assortment of colors and packaging that you receive may vary from what it pictured     No lighter is child-proof. There is no substitute for proper adult supervision. Read all warnings before using this product. Flick it Safely."
"1731552331-10","https://www.amazon.ca/s?k=lighter&crid=PZGQTM8FJZ16&sprefix=lighter%2Caps%2C109&ref=nb_sb_ss_ts-doa-p_1_7","2 (Pcs) Metal Skull Jet Torch Lighter,Refillable Butane and Adjustable Lighters,Jet Flame Windproof Lighter,Birthday, Outdoor,BBQ,Candles (No Methane Gas)","https://www.amazon.ca/Jet-Torch-Refillable-Adjustable-Lighters-Windproof/dp/B0CL6K31YY/ref=sr_1_46?crid=PZGQTM8FJZ16&dib=eyJ2IjoiMSJ9.fHE-2kYr3_lPmTEr5_fbREAPyRBkgq48AMr1MnD5yZa3LrsfUBVTaJNU2TiU8MJkTKHSRqW7PkROBosnuBoTHwGhdTUIY8XUWua4bMJhkRsy8eVc8GeerMQdgJLQm7k1yFzg9Glww9bjO4IUznvorpqHTCfEZF4DHeAu4Zb5j81WXpASKQLbEKolwKQatGrUtelg3kBLlfbWqYwgtmBXdduS49bhI3ekaBvZO41kT-9RgbCoJ9EF5-bqrYXpR9nrlMOe4s6lw2bhvVRNxYUTvpScoBTAZJKl9aiRtX0aLC4.uiVqUxHoHd_CCP8OaNRIgteDZ0M08__hv1-XFZjdu_Q&dib_tag=se&keywords=lighter&qid=1731552289&sprefix=lighter%2Caps%2C109&sr=8-46","2 (Pcs) Metal Skull Jet Torch Lighter,Refillable Butane and Adjustable Lighters,Jet Flame Windproof Lighter,Birthday, Outdoor,BBQ,Candles (No Methane Gas)","$24.88","Creative Body: The sturdy body ensures durability and longevity, making it a perfect gift for men and Girl who love personality tide play.     Unique shape: The unique shaped design adds a touch of cool to your lighter collection.     Refillable Valve: The bottom of the lighter features an integrated refillable valve for easy flame adjustment. You can effortlessly control the flame size according to your preferences.     Butane Lighter : also makes for an ideal gift. This cool and functional lighter is perfect as a birthday or a Christmas present for any male friend or family member. It's also a great addition to anyone's collection of gadgets and tools.     Note: Lighter does not come filled with gas; please refill before use."
