web-scraper-order,web-scraper-start-url,product-link,product-link-href,product_name,price,description
"1731552495-1","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Zojirushi Pressure Induction Heating Rice Cooker & Warmer, 10 Cup, Stainless Black, Made in Japan (NP-NWC18XB)","https://www.amazon.ca/Zojirushi-Pressure-Induction-Stainless-NP-NWC18XB/dp/B088G23N6Y/ref=sr_1_56?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-56","Zojirushi Pressure Induction Heating Rice Cooker & Warmer, 10 Cup, Stainless Black, Made in Japan (NP-NWC18XB)","","Capacity: Up to 10 cups / 1. 8 liters     Pressurized Cooking and Steaming: Promotes gelatinization and produces sticky and plump rice Automatically selects from 3 pressure levels according to the menu selected Utilizes 4 different pressure settings to perfect variety of textures Applies pressure at the end during steaming to burn off excess moisture for best cooking results     Menu settings include: white (regular, softer or harder), umami, mixed, sushi/sweet, Jasmine, porridge, congee, brown, GABA brown, steel cut oatmeal, rinse-free and quick cooking     Advanced fuzzy logic technology with AI (Artificial Intelligence): AI technology “learns” and adjusts the cooking cycle to get perfect results     BPA-free (all areas that come into contact with food or beverage)"
"1731552506-2","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Instant Zest 8 Cup Rice Cooker, Steamer, Cooks Rice, Grains, Quinoa and Oatmeal, No Pressure Cooking Functionality","https://www.amazon.ca/Instant-Zest-Rice-Cooker-Pot/dp/B07TZL8Y3C/ref=sr_1_54?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-54","Instant Zest 8 Cup Rice Cooker, Steamer, Cooks Rice, Grains, Quinoa and Oatmeal, No Pressure Cooking Functionality","$72.99","4 smart programs make cooking your favorite rice and grains to fluffy perfection super-fast and one touch easy     4 smart programs for one touch cooking white rice, brown rice, quinoa and oatmeal. BPA/PFOA/PTFE-free cooking     Quickly steams veggies, fish and more with the touch of a button: Makes 8 cups and doubles as a warmer for all kinds of foods     Built in protection against overheating: Compact, lightweight and easy to store     Accessories included: In addition to the non-stick ceramic coated pot, the Zest Plus also comes with a dishwasher-safe steamer tray, rice measuring cup and rice spoon     120 volt 60 hertz power supply: Please check your voltage if not in North America     Extra thick inner pot with non stick ceramic coating for better, more even cooking     Stainless steel 18/8 lid interior"
"1731552510-3","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Panasonic SRCN108 5.5 Cup Electronic Rice Cooker/Warmer, White","https://www.amazon.ca/Panasonic-SRCN108-Electronic-Cooker-Warmer/dp/B07T8KLB8S/ref=sr_1_53?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-53","Panasonic SRCN108 5.5 Cup Electronic Rice Cooker/Warmer, White","","Prepare up to 11 cups of perfectly textured rice (5.5 cups uncooked)     6-Layer resilient, non-stick aluminum-coated inner pan designed for even cooking, durability, and easy cleaning     Choose from 16 auto cook programs including white, brown, and multigrain rice, quinoa, porridge, soup, slow cook, and more     Detachable inner lid and steam vent can be easily removed for cleaning     When finished cooking, automatically switch to a Keep Warm mode that stays on for up to 12 hours"
"1731552513-4","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Instant Pot 20-Cup Rice Cooker, Rice and Grain Multi-Cooker with Carb Reducing Technology without Compromising Taste or Texture, From the Makers of Instant Pot, Includes 8 Cooking Presets","https://www.amazon.ca/Instant-Multi-Cooker-Reducing-Technology-Compromising/dp/B0BK2CP4CB/ref=sr_1_52?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-52","Instant Pot 20-Cup Rice Cooker, Rice and Grain Multi-Cooker with Carb Reducing Technology without Compromising Taste or Texture, From the Makers of Instant Pot, Includes 8 Cooking Presets","$177.00","8-in-1 FUNCTIONALITY: More than a rice cooker! Cook grains, quinoa, mixed grains, slow cook, sauté, steam, keep warm     CARB-REDUCING TECHNOLOGY: CarbReducing technology reduces carbs and sugars in rice up to 40% without sacrificing taste and texture.     COOKING MADE SIMPLE: Easy-to-use 8 smart cooking presets making cooking effortless.     SWIFT MEASUREMENTS: Level marks in CarbReduce steam basket to easily measure water allowing cooking or meal prep quick.     FRESH GRAINS: Unit can keep warm up to 10 hours for rice or grains that are ready when you are     EASY CLEANUP: Non-stick cooking pot, stainless steel CarbReduce steam basket and removable inner lid are all dishwasher safe.     SLEEK & COMPACT DESIGN: Slim profile and matte finish look beautiful on your countertop or small enough to be stored away in a cabinets or pantry."
"1731552517-5","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","CHACEEF Mini Rice Cooker 2-Cups Uncooked, 1.2L Portable Non-Stick Small Travel Rice Cooker, Smart Control Multifunction Cooker with 24 Hours Timer Delay & Keep Warm Function, Food Steamer, Green","https://www.amazon.ca/CHACEEF-Uncooked-Portable-Non-Stick-Multifunction/dp/B09JC15NYF/ref=sr_1_51?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-51","CHACEEF Mini Rice Cooker 2-Cups Uncooked, 1.2L Portable Non-Stick Small Travel Rice Cooker, Smart Control Multifunction Cooker with 24 Hours Timer Delay & Keep Warm Function, Food Steamer, Green","","2-Cups Uncooked Capacity: CHACEEF 1.2L mini rice cooker can cook up to 2 cups of uncooked white rice when use the standard 160ml measuring cup, perfect for small families of 1-3 people. The portable size (7.8"" x 7.6"" x 6.45"") won’t take up too much space, making it not only a dorm room essential, but also very convenient to store in a small kitchen or carry to travel or camping.     Smart Control & 6 Cooking Function: This multifunctional rice maker features 6 cooking functions, white rice, brown rice, porridge, soup, stew, and cake, which can meet your different cooking needs. Through the smart control panel, you can easily select different cooking functions with corresponding cooking times.     24-hour Timer Preset & Keep Warm Function: This small rice cooker has a 1-24 hours Delay Start function, providing you more flexibility in controlling your time. Prepare the ingredients and make a preset before going out, then you can enjoy delicious rice when you get home. When cooking is complete, the rice maker will enter the automatic keep-warm function.     Non-stick Inner Pot: With a removable non-stick inner pot and a detachable inner lid, cleaning is very easy. The use of a one-touch opening lid design makes your operation easier and the use of an extended steam port can effectively control the overflow of the rice cooker, making it safer to use.     Make Rice Better: This food steamer has 4 temperature curves during the cooking process. The first stage is preheating and water absorption, the second is heating at high temp, then heated to boiling and simmer, finally entering the keep warm state. The sweetness and nutrition of the rice can be better released during this process, and the cooked rice tastes better and more delicious."
"1731552520-6","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Cuckoo Electric Induction Heating Pressure Rice Cooker CRP-HZ0683FR (Red)","https://www.amazon.ca/Cuckoo-Electric-Induction-Pressure-CRP-HZ0683FR/dp/B071KMD3GY/ref=sr_1_50?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-50","Cuckoo Electric Induction Heating Pressure Rice Cooker CRP-HZ0683FR (Red)","","Efficient and Intelligent: Fully programmable, complete with a LCD display 15 - cooking functions, it’s your personal kitchen assistant. With voice navigation for Korean, English and Chinese.     Faster, Smarter Cooking: Hassle-free cooking is simple with fuzzy logic and the intelligent cooking algorithm it detects grain type, temperature and cook time. Utilizing induction heating, your favorite dishes are ready in no time without the guesswork.     Professional Quality: X-wall diamond coated inner bowl brings optimal temperature and heat distribution throughout your food. Non-stick non-scratch surface and easy one touch cover lid release button allows for an easy clean up.     Safety First: We went the extra mile to ensure our electric rice cooker is as safe as it is easy to use. With automatic steam and pressure emission, a lid locking device, auto temperature control and an alarm for overheating, we put your safety first.     Trusted Brand: With 40 years of experience Cuckoo has perfected the art of cooking rice. Join the Cuckoo community and enjoy your perfectly cooked rice, prepared in no time in your streamlined, stylish rice cooker that will compliment any kitchen."
"1731552523-7","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Rice Cooker and Food Steamer, 10 Cups Uncooked(20 Cups Cooked) Rice Maker Large, Removable Non-Stick Pot Suitable for Cooking, Soups, Stewing, Steaming, Automatic Keep Warm Function, White","https://www.amazon.ca/Uncooked-Removable-Non-Stick-Suitable-Automatic/dp/B09V25PJVP/ref=sr_1_49?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-49","Rice Cooker and Food Steamer, 10 Cups Uncooked(20 Cups Cooked) Rice Maker Large, Removable Non-Stick Pot Suitable for Cooking, Soups, Stewing, Steaming, Automatic Keep Warm Function, White","","Macook Multi Rice Cooker: Whether you want rice, soup, quinoa, oatmeal, fondue, pasta, steamed vegetables, seafood, meat, and etc, the Macook 10 cups rice cooker with steamer can help you do that. With creativity, the possibilities are endless.     COOKING & STEAMING: The rice maker with aluminum food steamer allows to steam vegetables and meats on top while cooking rice, soup, or any other food inside the cooking pot below. The steamer has enlarged steam holes for quick steaming of food. It saves time without sacrificing quality so that you can have great-tasting food. It's perfect for busy working families.     10-CUP CAPACITY: The cooking pot has a total volume of 4L(3.5 Quart) and can cook a maximum 10 cup of uncooked rice and yeild up to 20 bowls of perfectly fluffy rice, providing perfect portion control for large families (2-8 people) and ensuring a day of family meals, Thanksgiving gatherings, and Christmas parties.     ONE TOUCH QUICK COOKING: The Macook Rice Cooker comes with a new 2022 micro switch on the operator panel, so you don't have to worry about a broken cooking switch button anymore. Now you can push the button and wait 15 to 30 minutes to prepare your family's favorite delicacies food quickly.     AUTOMATIC KEEP WARM: How many times have you been too busy to eat on time? With this 10 cup rice cooker, you can enjoy a hot meal at any time. After cooking, the friendly rice cooker will automatically switch to keep warm for 4 hours to help you lock in the delicious nutrition of your meals.     EASY TO USE AND CLEAN: The aluminum inner pot is treated with food-grade non-stick coating and prevents the sticking of cooked rice to the bottom. The inner pot features removable, portable, and easy to clean. You can soak it in water for 10 minutes before cleaning or wash it in the dishwasher conveniently.     BOUTIQUE: Includes rice cooker, removable inner pot, steamer basket, rice scoop, tempered glass lid, measuring cup, and MACOOK user manual - All parts of the rice cooker are made of BPA-free materials and pass UL and FCC Certified. In addition, we offer a one-year warranty; if you have any questions about the product, please feel free to contact us.     TIPS: Suggested ratio of rice to water when cooking: 1:1.5. Check the cooking pot and ensure it is dry and free of debris before cooking, or else it may damage the rice cooker. After use, please wipe the exterior of the rice cooker and the heating element with a damp cloth to eliminate the rice or other residual stuck on the surface. Read the manual carefully before use."
"1731552527-8","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Elite Gourmet ERC-2020 Electric Rice Cooker with Stainless Steel Inner Pot Makes Soups, Stews, Grains, Cereals, Keep Warm Feature, 20 Cups Cooked (10 Cups Uncooked), White","https://www.amazon.ca/Maxi-Matic-ERC-2020-Refurbished-Lagasse-Uncooked/dp/B06XTVMZ8G/ref=sr_1_48?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-48","Elite Gourmet ERC-2020 Electric Rice Cooker with Stainless Steel Inner Pot Makes Soups, Stews, Grains, Cereals, Keep Warm Feature, 20 Cups Cooked (10 Cups Uncooked), White","$55.31","COOK MOUTH-WATERING & FLUFFY RICE EVERY SINGLE TIME without wasting your time over the pot! The Elite Cuisine ERC-2020 pro rice cooker is here to help you cook up to 20 cups (10-cups uncooked) of your favorite jasmine, basmati or brown rice effortlessly! No more waiting for the water to boil, no more watching and guessing if the rice is cooked! Our innovative rice cooker will make your life easier and cooking for your family 100% hassle-free!     WANT PERFECTLY COOKED RICE? JUST SET IT & FORGET IT! Sick and tired of undercooked or overcooked rice? The Elite Cuisine professional rice cooker will evenly cook your rice and then automatically switch to “Keep Warm” function, which will make sure that your delicious rice is fresh and warm for hours before serving! Take all the guesswork out of cooking your sushi or black rice and enjoy your favorite Indian or Chinese recipes effortlessly!     COATING FREE STAINLESS STEEL INNER POT! Unlike flimsy aluminum pots, our rice cooker features a surgical-grade 304 stainless steel cooking pot, which is more durable and practical! Save your precious time and effort, since our stainless steel inner pot is super-easy to clean and can endure any abuse without skipping a beat! And the best part? You can remove it and serve your yummy rice straight from the cooker!     THE ALL-INCLUSIVE HOUSEWARMING GIFT IDEA for a hassle-free cooking experience! The cool-touch side handles will prevent accidents while the tempered-glass lid will allow you to check on your rice anytime! Plus, our rice cooker comes with 2 BONUS accessories: a handy measuring cup so you can stop guessing the right amount of rice and a convenient serving spatula! Spoil your rice-loving friends or family with the Elite Cuisine all-in-one rice cooker!     EXTRA LARGE CAPACITY cooks up to 20 cups of cooked rice for the entire family and more! This rice cooker holds up to 10 cups of raw rice and 20 cups of cooked rice - enough for multiple servings."
"1731552530-9","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","CUCKOO CR-1020F | 10-Cup (Uncooked) Micom Rice Cooker | 16 Menu Options: White Rice, Brown Rice & More, Nonstick Inner Pot, Designed in Korea | White","https://www.amazon.ca/CUCKOO-CR-1020F-10-Cup-Uncooked-Options/dp/B083GBLDF3/ref=sr_1_47?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-47","CUCKOO CR-1020F | 10-Cup (Uncooked) Micom Rice Cooker | 16 Menu Options: White Rice, Brown Rice & More, Nonstick Inner Pot, Designed in Korea | White","$101.98","UNIQUE 16 MENU OPTIONS: Enjoy popular menu options such as white (glutinous) rice, brown rice and porridge as well as versatile options such as steam and multi cook     LARGE 10 CUP CAPACITY: The 10-cup (20 cups cooked) rice cooker provides the perfect serving amount for larger families     SMART MICOM RICE COOKER: Enjoy effortless cooking as the smart cooking algorithm is designed to automatically cook delicious rice every time!     CUSTOMIZED RICE COOKING: Whether you enjoy sticky rice, soft rice, sweet rice, or savory rice, My Mode allows you to take control of your cooking with the 16 unique rice flavor and texture options     CLEAN & FRESH: Keep your rice cooker clean and your rice tasting fresh with the removable nonstick inner pot, detachable inner lid, auto clean function, and excess water drainage dish"
"1731552533-10","https://www.amazon.ca/s?k=rice+cooker&crid=3AJVSUNEH8J4W&sprefix=rice+%2Caps%2C124&ref=nb_sb_ss_ts-doa-p_1_5","Instant Pot Duo 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Saute, Yogurt Maker, Warmer & Sterilizer, Includes App With Over 800 Recipes, Stainless Steel, 6 Quart","https://www.amazon.ca/Instant-Electric-Pressure-Sterilizer-Stainless/dp/B00FLYWNYQ/ref=sr_1_46?crid=3AJVSUNEH8J4W&dib=eyJ2IjoiMSJ9.FKI_lz7FOn-xe8rX89XtwdiMIMW-_CFxrPiCm93z17Nemkbo6mEIcR4T-E9EoYojMgFbH4PHv52N8b-92SPQu8S0YszPTcD_xyBHyqW1eOwcYG0ri7QINO4CZA8J1cQrA1Qy7hPmtzH0Nja7zfCqxEjIt_bkbxoGUzMboReabfLsJlAPV7sMzCAA_Pa1UZZm6jrS9ZcaV79WLfHiy_7vagjWm4bqVXLHalBRqbrpBTR6zGyG7-Ah3d9GkcCJtzb9Tp311OEeuQexc8qZ8-KPJfhsSZf6u_UHlJ1sNAUclY4.JkGiNCp2FkEn6NfxAkw-slXE0hpXde0feBrtjqYBO0A&dib_tag=se&keywords=rice+cooker&qid=1731552486&sprefix=rice+%2Caps%2C124&sr=8-46","Instant Pot Duo 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Saute, Yogurt Maker, Warmer & Sterilizer, Includes App With Over 800 Recipes, Stainless Steel, 6 Quart","$139.98","Duo, the number 1 selling multi-cooker, combines 7 kitchen appliances in 1, Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Sauté, Yogurt Marker and Warmer, prepares dishes up to 70% faster to support your busy lifestyle     Features 14 Smart Programs - Soup, Meat/Stew, Bean/Chili, Poultry, Sauté/Simmer, Rice, Multigrain, Porridge, Steam, Slow Cook, Keep Warm, Yogurt, Manual, and Pressure Cook. Now, your favorite dishes are as easy as pressing a button. The power cord is 35 inches long     Healthy, stainless steel (18/8) inner cooking pot made from food grade 304, no chemical coating, 3-ply bottom for even heat distribution, fully sealed environment traps the flavours, nutrients and aromas within the food     Built with the latest 3rd generation technology, the microprocessor monitors pressure, temperature, keeps time, and adjusts heating intensity and duration to achieve your desired results every time     Note : Conditioner collector will be attached to the back of unit not inside. UL and ULC certified with 10 safety mechanisms to provide you with added assurance, designed to eliminate many common errors"
